query,answer
A patient with H. Pylori infection is treated with drugs. The best method to detect presence of residual H.Pylori infection in this person is which of the following?,B. Urea breath test
"In depression, there is deficiency of:",A. 5-HT
Which nerve origin was injured in a 32‑year‑old woman after left axillary lymph node dissection causing winged scapula and difficulty raising her arm?,C
Drug commonly used in treatment of endometriosis,B. GnRH analogues
Which view is best for viewing hollow viscus perforation,A. Erect
The physiological change occurs in a cardiac muscle cell when there is plateau phase of action potential is:,B. Influx of Ca2+
Enzyme used in PCR is ?,D. None
Initial treatment of keloid,B. Intralesional steroid
Multiple painful ulcers over glans without in duration is suggestive of – Answer Choices: A. LGV B. Granuloma inguinale C. Chancroid D. 2° syphilis,C. Chancroid
"Ash leaf maculae is found in :
Answer Choices:
A. Tuberous sclerosis
B. Neurofibromatosis
C. Lymphangioma
D. None",A. Tuberous sclerosis
"A 43-year-old woman with chronic alcoholism, presenting with shortness of breath, edema, hypotension, tachycardia, elevated JVP, displaced cardiac apex, bilateral crackles, and pedal edema. The question asks for the most likely vitamin deficiency or excess diagnosis.",B. thiamine
Edema feet is not a feature of: A. Conn syndrome B. Hypothyroid C. CHF D. Nephrotic syndrome,A. Conn syndrome
"In exocrine pancreatic cancer, the commonest tumour marker to be elevated as -",D. CA-19-9
NALGONDA technique is used in -,A. Endemic-fluorosis
Post moem stiffening is called: March 2005,B. Rigor mois
Renal threshold for glycosuria,B. 180 mg/dl
Werner's syndrome (multiple endocrine neoplasia type I) is characterised by all of the following except - A. Tumours of anterior pituitary B. Tumours of parathyroids C. Pancreatic adenomas D. Phaeochromocytoma,D. Phaeochromocytoma
The commonest valvular manifestation of acute as well as previous rheumatic carditis is,B. Mitral regurgitation
Bulls eye retinopathy is seen in toxicity of-,D. Chloroquine
In peripheral tissues which of the following contains substance P: A. Plasma cell B. Mast cell C. Nerve terminal D. Vascular endothelium,C. Nerve terminal
All of the following are true about lateral cutaneous nerve EXCEPT: A. Supplies skin over the lateral skin of thigh B. Supplies skin over the medial aspect of thigh C. Arises from L2 and L3 D. It is a purely sensory nerve,B. Supplies skin over the medial aspect of thigh
True regarding colovesical fistula. Answer Choices: A. Most commonly presents with pneumaturia B. Most commonly caused by colonic cancer C. More common in females D. Readily diagnosed on barium enema,A
Persistent vomiting most likely causes - a) Hyperkalemia b) Acidic urine excretion c) Hypochloraemia d) Hyperventilation. Answer Choices: A. a B. c C. bc D. ad,B. c
A 19-year-old man with a stab wound at the base of the neck (zone I). What is the most important concern?,C. Exsanguinating hemorrhage
Which of the following ophthalmological anomaly is seen in WAGR syndrome?,C. Aniridia
Which is not a content of inguinal canal?,D. Inferior epigastric artery
ACTH is produced by which of the following Bronchogenic carcinomas?,B. Small cell carcinoma
Rubrospinal tract influences,B. Valuntary activity
Fasciotomy- all of the following are cut except,D. Muscles
"Which of the following lesion is least likely to be eccentric? Answer Choices: A. GCT, B. Simple bone cyst, C. Osteochondroma, D. Aneurysmal bone cyst",B. Simple bone cyst
Identical twins can be differentiated by:-,A. Finger print
Long term potentiation means,A. Enhancement of signal transmission
Little finger of hand corresponds to which of the following dermatomes: A. C6 B. C7 C. C8 D. T1,C. C8
Decreased vascularity of fibroid is seen with : Answer Choices: A. GnRH agonist B. Danazol C. Mifepristone D. All,D. All
Human fibroblast cell line is used for cultivation of ?,D. Measles
"The following are indications for performing thoracotomy after blunt injury of the chest, except
Answer Choices:
A. 1000 ml drainage after placing intercostal tube
B. Continuous bleeding through intercostal tube of more than 200 ml/hour for three or more hours
C. Cardiac tamponade
D. Rib fracture",D. Rib fracture
Atopic dermatitis is diagnosed by –,C. Clinical examination
Colour vision is with the help of:,B. Cones
Not true about tubercular bacilli - A. Facultative anaerobe B. Discovered by Robert Koch C. Gram positive D. Has thick cell wall,A
Bruxism is -,C. Grinding of teeth during sleep
Patients with 'Hemophilia A' have bleeding disorder because of -,B. Lack of reaction accelerator during activation of factor X in coagulation cascade
"A 23 yr. old female came with arthritis, Malar rash, oral ulcers, serositis (pleuritis or pericarditis). The likely investigation to be positive is
Answer Choices:
A. Anti nuclear antibody
B. Anti collagen antibody
C. Anti epithelial antibody
D. Antigen antibody complexes",A. Anti nuclear antibody
Paradoxical splitting of second heart sound heard in,D. LBBB
"All the following are contents of sub-occipital triangle, except -",D. Occipital artery
Which of the following are the slowly adapting mechanoreceptors present in the skin that are very sensitive to perpendicular indentation?,C. Merkel discs
"Young boy with massive hematemesis, splenomegaly, recent fever treated with drugs. Probable diagnosis?",D. Oesophageal varices
Most common type of shoulder dislocation is: March 2011,Anterior
Bechet's disease is characterized by: Answer Choices: A. Hypopyon B. Hyphema C. Subconjunctival hemorrhage D. Scleritis,A. Hypopyon
"32-year-old woman with polyuria and polydipsia, labs suggest central diabetes insipidus. Which MRI finding is most likely?",D
Obesity in a child of age 2 years is defined as:,D. BMI >95th percentile
Central anticholinergics are used in treatment of all except-,D. Neuroleptic malignant syndrome
Which of the following feature on second trimester ultrasound is not a marker of Down's,A. Single umbilical aery
Methysergide is banned as it causes ?,A. Pulmonary fibrosis
Methylergometrine is used in the prophylaxis of,B. Postpartum hemorrhage
A 32-year-old male known hypertensive planned for cholecystectomy. Which anesthetic agent is contraindicated?,B. Ketamine
Which of the following hallucinations is pathognomonic of schizophrenia,B. Auditory hallucinations giving running commentry
Treatment of Bipolar disorder includes: A. Anti-depressant drugs B. Lithium carbonate C. ECT D. All,D. All
Coagulative necrosis is commonly seen in all except:,C. Sarcoidosis
Drug-induced colitis is most frequently associated with,C. Clindamycin
45-year-old male with multiple grouped vesicular lesions on TN segment dermatome associated with pain. Most likely diagnosis?,A. Herpes zoster
A 9-year-old girl presents with menarche. History reveals thelarche at the age of 7 years and adrenarche at the age of 8 years- the M/C cause of this condition in girls is:,A. Idiopathic
Cold water is not used for ear cleaning because,C. Caloric stimulation caused by cold water
A 38-year-old woman with a history of multiple sexual partners is most at risk for which carcinoma?,B. Cervical carcinoma
"60-year-old male with breathlessness, facial swelling, dilated chest wall veins: most common cause?",B. Lung cancer
A patient Secta is diagnosed to be having iron deficiency anemia. The agent that can be used to improve the absorption of iron is:,D. Ascorbic acid
Delusion is not seen in - (A) Depression (B) Anxiety (C) Schizophrenia (D) Mania,B. Anxiety
Hara-kiri is death by,C. Stab in the abdomen
Double bubble sign with absent distal bowel air shadows on X-ray abdomen is characteristic of,B. Duodenal atresia
Early diagnosis of acute hepatitis-B infection is made by- Answer Choices: A. Presence of HbeAg in serum B. Presence of IgM anti-Hbc in serum C. Presence HbsAg in serum D. Presence of IgG anti-HBc in serum,B. Presence of IgM anti-Hbc in serum
What is deficient in exclusively breast fed baby?,A. Vitamin B
Which of the following disease is transmitted by phlebotomus argentipes - Answer Choices: A. Epidemic typhus B. Kala-azar C. Relapsing fever D. Trench fever,B. Kala-azar
Capsid of viral structure is-,B. Protein coat around nucleic acid
Graft material for myringoplasty,A. Temporalis fascia
The dose of Dapsone at which it does not cause hemolysis?,A. 50mg
A 23-year-old man with polyarteritis nodosa; which of the following is associated with this form of vasculitis?,C. Hepatitis B virus
Auzpitz sign is seen in - Answer Choices: A. Psoriasis B. LichenPlanus C. Alopeciaaerata D. Lichensclerosus,Psoriasis
True about CLL is - a) Can present as acute leukemia b) Diagnosed in routine blood test c) Leukocytosis d) More T lymphocytes seen Answer Choices: A. bc B. c C. ac D. ad,A. bc
Moth eaten bone is seen in which of the following ?,B. Multiple myeloma
"In submandibular gland excision all of the following nerves may be affected except
Answer Choices:
A. Lingual nerve
B. Hypoglossal nerve
C. Glossopharyngeal nerve
D. Mandibular division of trigeminal nerve",C. Glossopharyngeal nerve
"68M musician, sudden colicky pain, massive vomiting (4h), WBC 13200, HCT 45%, BUN/electrolytes normal. Erect film: dilated stomach + distended bowel. Diagnosis?",A
A patient with multiple myeloma and serum ca2+15mg/dl ; the treatment -a) Oral pamidronateb) Less than 15mg/dl serum calcium dose not causes symptomsc) Mithramycind) Glucocorticoids Answer Choices: A. abc B. acd C. bc D. bde,B. acd
Hemagglutinin (Anti-A and Anti-B) are which type of antibodies?,B. IgM
Mandibular complete denture should cover retromolar pad because,D. All of the above
"All of the following muscles of tongue are supplied by hypoglossal nerve, EXCEPT? Answer Choices: A. Palatoglossus B. Genioglossus C. Geniohyoid D. None of the above",A. Palatoglossus
A patient tries to make a fist but the index and middle finger remain partially extended. The nerve most probably involved is,A. Median nerve
"30 year old female comes with visual defects, breast engorgement and Amenorrhea. Investigation of choice is",B. Serum prolactin
"50-year-old male with type 2 diabetes, 24-hour urinary albumin 250 mg - which drug retards renal disease progression?",B. Enalapril
Preferred method of contraception for a female with family H/O ovarian cancer,C. OCP
Which of the following method is used for HIV pre-test and post-test counselling?,A. Individual approach
"Which of the following drugs is to be immediately stopped in a patient of diabetes with HTN and serum creatinine level of 5.6 mg? Answer Choices: A. Metformin, B. Insulin, C. Metoprolol, D. Linagliptin",A. Metformin
Large unilateral hypopigmented lesion on right trunk and arm in female. Which of the following best explain the etiology for it? Answer Choices: A. Autoimmune hypothesis B. Neurogenic hypothesis C. Genetic factors D. Self destruct theory of Lerner,B. Neurogenic hypothesis
Most common differential diagnosis for appendicitis in children is,B. Mesentric lymphadenopathy
Gas most commonly used in laparoscopy,A. CO2
A 59-year-old man with iron deficiency anemia and an ulcerating cecal lesion on colonoscopy; which serum tumor marker is most useful for postoperative follow‑up?,B. Carcinoembryonic antigen
Succinylcholine is short acting due to,C. Rapid hydrolysis
The layer of the cornea once destroyed does not regenerate is:,B. Bowman's membrane
Heberden done denotes involvement of,A. Distal inetrphalangeal joint
Non Oliguric Acute Renal Failure is typically associated with,A. Aminoglycoside toxicity
Magnesium sulphate potentiates the hypotensive action of -,B. Nifedipine
"A newborn girl has not passed meconium for 48 hours, with abdominal distention and vomiting. What is the initial investigation of choice?",C. Lower GI contrast study
All of the following skin changes are associated with Diabetes Mellitus except,D. Salmon patch
A young boy presented with high fever shows clinical features suggestive of Legionnaires' Disease. Treatment of choice is:,B. Azithromycin
Absolute Contraindication for the Use of OCPs is: Answer Choices: A. Thromboembolism B. Hypeension C. Diabetes D. Epilepsy,A. Thromboembolism
Fluoride helps in,Dentition
The chestnut coloured fungal cells known as muriform bodies are seen in:,C. Chromoblastomycosis
Systemic infection is caused by all fungi except,C. Dermatophytes
The epithelium is absent in lens on,Posterior surface
Bruxism is: NEET 13,C. Grinding of teeth during sleep
Which cyclooxygenase plays a role in maintaining GI mucosal integrity?,A. Cyclooxygenase 1
In HIV window period indicates:,B. Time period between infection and detection of antibodies against HIV
Early age of sex is risk factor for,A. Carcinoma cervix
"A 15-year-old girl with right axillary lymphadenopathy, right arm scratches with a papule (5 days post-injury). Most likely animal source of infection.",A. Cat or kitten
Which of the following is not a specific somatoform disorders? Answer Choices: A. Somatization disorder B. Fibromyalgia C. Chronic fatigue syndrome D. Irritable bowel syndrome,D. Irritable bowel syndrome
Phocomelia is best described as: Answer Choices: A. Defect in development of long bones B. Defect in development of flat bones C. Defect in intramembranous ossification D. Defect in cartilage replacement by bones,A
Bird beak appearance on barium swallow study is seen in -,A. Achlasia cardia
Spleen projects into the following space of peritoneal cavity:,A. Greater sac
Pressure volume loop is shifted to left side in,C. Aortic stenosis
The symptoms of Hyperparathyroidism include -,D. All of the above
Bradykinin Causes -,B. Pain at the site of inflammation
Most common site of myositis ossificans ?,A. Knee
True statement regarding Atrioventricular block with atrial tachycardia is -,D. Seen in Digitalis toxicity with K+ depletion
Best approach to study a rare disease is: A. Case control study B. Cross-sectional study C. Cohort study D. Clinical trial,A. Case control study
Characteristic Symptom in induced psychotic disorder is,C. Accepting delusions of other person
A patient has complaint of seeing coloured holoes in the evening and blurring of vision for last few days with normal 10P,A. Prodromal phase of acute angle closure glaucoma
Dyskeratosis is seen in:,C. Darier's disease
Serotonin synthesis precursor amino acid,A
Which of the following is NOT a branch of intracranial part of Internal carotid artery (103 - BDC- 3) 4th edition? Answer Choices: A. Anterior communicating B. Anterior cerebral C. Middle cerebral D. Posterior communicating,A. Anterior communicating
Which of the following is silent thyroiditis? Answer Choices: A. Acute thyroiditis B. Subacute thyroiditis C. Hashimoto thyroiditis D. Post-paum thyroiditis,C. Hashimoto thyroiditis
Characteristic feature of Rheumatic carditis is ?,D. Pancarditis
True about Barret's esophagus -a) Premalignantb) Predispose to sq. cell Cac) Can be diagnosed by seeing under endoscoped) Biopsy is necessary to diagnosee) Stricture may be present in high esophagus,D. acde
Which of the following is RNA with catalytic activity? Answer Choices: A. Ribonuclease P B. Peptidyl transferase C. Sn RNA D. All of the above,D. All of the above
The most sensitive index for renal tubular function is:,A. Specific gravity of urine
Thrombosis of the Superior branch of middle cerebral artery leads to: Answer Choices: A. Motor aphasia B. Urinary retention C. Bitemporal hemianopia D. Grasp reflex,A. Motor aphasia
Wernicke's encephalopathy occurs due to deficiency of,A. Vitamin B1
Deltoid ligament is attached to all except,D. Lateral malleolus
"Commonest cause of non-engagement at term, in primi is:",A. CPD
Which of the following is true about hypothermia during anesthesia?,B. Prevented by giving warm fluids
Acute Osteomylitis in children most commonly affects-,A. Metaphysis
Drug used for Buerger's disease,B. Propranolol
Acute osteomyelitis can best be distinguished from soft tissue infection by –,D. MRI
Which lesion displays an ill-defined border?,B. Sclerosing osteitis
Cutaneous infection due to exogenous exposure to TB bacilli in a person who is already sensitized by previous exposure to TB leads to:,D. TB veruccosa cutis
"In a 2 months old infant undergoing surgery for biliary atresia, which anesthetic should be avoided?",B. Halothane
"Skin grafting done on wound following major skin taken from twin brother: Answer Choices: A. Isograft, B. Allograft, C. Autograft, D. Xenograft",A. Isograft
"In erythema migrans, which papilla of tongue are absent: A. Fungiform B. Foliate C. Filliform D. Circumvallate",C. Filliform
Acetazolamide can be used in all except,C. Cirrhosis
Lymphatic drainage of ovary?,D. Paraaoic
N. gonorrhea causes -,D. All
Not true about rt. kidney is -,A. Rt. kidney is preferred over the left for transplantation
"Arthritis involving DIP, PIP, 1st carpometacarpal with sparing of MCP and wrist joints is typical of:",A. Osteoahritis
"In oogenesis, which of the following events occurs immediately following the completion of meiosis II?
Answer Choices:
A. Degeneration of the zona pellucida
B. Sperm penetration of the corona radiata
C. Formation of a female pronucleus
D. Appearance of the blastocyst",C. Formation of a female pronucleus
Which of the following is universal donor blood group - Answer Choices: A. A B. B C. AB D. O,D. O
"12-year-old boy with hematemesis, melena, mild splenomegaly; no jaundice or ascites. Most likely diagnosis?",A. EHPVO
A man has just received his fourth DUI citation. The judge orders an alcohol dependency program complete with a medication that makes him have nausea and vomiting if he drinks alcohol while taking the medication. The drug-induced illness is caused by the buildup of which one of the following? Answer Choices: A. Ethanol B. Acetaldehyde C. Acetate D. Acetyl-CoA,B. Acetaldehyde
Middle part of jugular foramen transmits all of the following cranial nerves except:,C. Hypoglossal nerve
Which one of the following is not included in the treatment of malignant melanoma? Answer Choices: A. Radiation B. Surgical excision C. Chemotherapy D. Immunotherapy,A. Radiation
45yo female progressive lower limb weakness spasticity urinary hesitancy MRI intradural enhancing mass lesion most likely diagnosis,D. Meningioma
The only neuron in retina showing action potentials are,D. Ganglion cells
"Venous return to hea during quiet standing is facilitated by all of the following factors, except",D. Gravitational ihcrease in aerial pressure
Spleen is derived from -,B. Dorsal mesogastrium
Which flexor muscle is attached to hook of hamate?,C. Flexor digiti minimi
Cavernous hemangioma is characterized by:,D. Phlebectasis
Early childhood caries or baby bottle tooth decay is usually seen in the age group of _____ month old child?,A. 18-36
Confirmatory test for syphilis - Answer Choices: A. VDRL B. FTA-ABS C. RPQ D. None,B
Best way to confirm that no stones are left back in the CBD? Answer Choices: A. Choledochoscope B. Palpation C. Cholangiogram D. ERCP,A. Choledochoscope
Whitnall's Tubercle is present in,A. Lateral wall of Orbit
Which of the following is a precancerous condition of cancer stomach? Answer Choices: A. Peptic ulcer B. Chronic gastric atrophy C. Achalasia cardia D. Curling's Ulcer,B. Chronic gastric atrophy
"Following are the normal features in temporomandibular joint except
Answer Choices:
A. Joint sound
B. Pain while opening the mouth
C. Deviation of the mouth in opposite while opening the mouth in eccentric movements
D. None of the above",B. Pain while opening the mouth
"Golgi tendon apparatus conveys message to CNS, depends upon Answer Choices: A. Tension in muscle B. Length of muscle C. Rapaidity of contraction D. Blood supply",A. Tension in muscle
Microbiological waste should be segregated in which color bag,A. Yellow
FRC is volume of air in lung after ?,D. Normal expiration
An infant presented with erythematous lesions on cheek and extensor aspect of upper and lower limbs. There is a family history of Asthma. The probable diagnosis is:,Atopic dermatitis
Which of the following is not a rapidly growing atypical mycobacteria causing lung infections - Answer Choices: A. M. chelonae B. M.fortuitum C. M.abscessus D. M.kansasii,D. M.kansasii
Pulmonary plethora is seen in ?,A. TAPVC
Most common site of metastasis for Breast Carcinoma,A. Thoracic veebra
"40-year-old patient with inability to keep arm against chest, forced contact causes scapular winging, history of repeated IM injections into deltoid. Diagnosis?",C. Deltoid contracture
"Life-threatening intravascular hemolysis, due to a toxin with lecithinase activity, occurs with sepsis due to:",D. Clostridium perfringens
"Which of the following is a dynamic cause of intestinal obstruction: March 2011
Answer Choices:
A. Gall stone
B. Paralytic ileus
C. Mesenteric vascular obstruction
D. Ogilvie syndrome",B. Paralytic ileus
Which class of antifungals inhibits the synthesis of the fungal cell wall?,B. Echinocandins
Most common epithelial tumor of lacrimal gland: Answer Choices: A. Adenoid cystic carcinoma B. Pleomorphic adenoma C. Squamous cell carcinoma D. Non hodgkins lymphoma,B. Pleomorphic adenoma
"Inspiratory stridor is found in what kind of lesions
Answer Choices:
A. Supraglottic
B. Subglottic
C. Tracheal
D. Bronchus",A. Supraglottic
Digoxin acts by inhibiting:,A. Na K ATPase
Treatment of choice for Eale's disease,A. Corticosteroids
The commonest valvular lesion in SLE-related cardiac disease is-,B. Mitral regurgitation
Skin test based on neutralization reaction is/are - Answer Choices: A. Casoni test B. Lepromin test C. Tuberculin test D. Schick test,D. Schick test
"Most common site of lentigo maligna subtype of malignant melanoma is ? Answer Choices: A. Palms & soles, B. Trunk, C. Face, D. Buttocks",C. Face
Foaming liver is seen in -,C. Gas gangrene
Low molecular weight heparin mainly inhibits which factor: September 2009,C. Factor Xa
The following structures are felt on per rectal examination except,A. Bulb of penis
Exarticulation of teeth means: A. Intrusion B. Extrusion C. Sublimation D. Avulsion,D. Avulsion
Serotonin is secreted by,C. Platelets
Posterior capsulotomy after cataract is done using,B. Nd YAg
A patient presents with intermittent headache. On examination there is hypertension and a thyroid nodule. Which of the following steps is to be taken next - Answer Choices: A. Urine HIAA levels B. Urine VMA and aspiration of the thyroid nodule C. Ultrasound abdomen D. Echocardiography,B. Urine VMA and aspiration of the thyroickiodule
"Which of the following is an autosomal dominant disorder? Answer Choices: A. Duchenes muscular dystrophy, B. Fragile X syndrome, C. Fanconi's syndrome, D. Hutington's chorea",D. Hutington's chorea
"A 9-year-old girl presents with nonproductive cough and mild stridor for 2.5 months. She improves but then develops wheeze, productive cough, mild fever, hyperlucency on X-ray, and obstructive PFT. What is the MOST probable diagnosis?",Bronchiolitis obliterans (Option A)
Best advantage of doing transcranial Doppler ultrasound? Answer Choices: A. Detect AV malformation B. Detect emboli C. Detect vasospasm D. Detect brain blood vessels stenosis,B. Detect emboli
Trimming and further modification of N-linked glycoproteins takes place at,A. Golgi apparatus
Which of the following is best suited for detection of calculi in the submandibular gland? Answer Choices: A. Lower true occlusal B. Lower topographic occlusal C. Lower oblique occlusal Vertex occlusal D. Vertex occlusal,A. Lower true occlusal
Microalbuminuria is defined as albumin. Answer Choices: A. <30 microgms/24 hrs. urine collection B. 30-300 microgms/24 hrs. urine collection C. 300-550 microgms/24 hrs. urine collection D. >550 microgms/24 hrs. urine collection,B
"Patient on autocoids 1 year with epigastric pain relieved by IV antacids, now RIF + epigastric pain, fever, loss of liver dullness",A. Duodenal perforation
"Pancreatic pseudocyst 5 cm, 3 weeks duration management",D. USG and follow up
Gout is a disorder of-,A. Purine metabolism
Tongue muscles are derived from -,A. Occipital somites
General visceral fibres do not supply,B. Skeletal muscles
The most common site of lymphangiosarcoma is,C. Post mastectomy edema of arm
Most common tumor of vertebral spine in adults,A. Secondary deposits
"Blunt injury abdomen, patient was hemodynamically stable, next investigation",C. FAST
"Which of the following is a definite indication for systemic steroids in rheumatoid arthritis? Answer choices: a) Mononeuritis multiplex, b) Carpel tunnel syndrome, c) Lung involvement, d) Both 'a' & 'c'",D. Both 'a' & 'c'
Which of the following amino acid can produce oxaloacetate directly in a single reaction?,D. Aspaate
A 3-year-old male child presents with multiple laryngeal papillomas with hoarse voice and slight airway distress. Papillomas are involving the glottis. The best treatment is:,D. Microlaryngoscopy and excision
"Infant born at 35 weeks, jittery, irritable, feeding difficulty, coarse tremors, high-pitched cry, diarrhea, emesis. Suspect withdrawal from which substance?",C. Heroin
CRP increases in all EXCEPT:,A. Osteoarthritis
"Which element is required by phosphofructokinase? Answer Choices: A. Magnesium, B. Inorganic phosphate, C. Manganese, D. Copper",A. Magnesium
Which of the following is not used for thrombo prophylaxis?,C. Antithrombin 3
A 50-year-old male chronic smoker with hoarseness for 4 months; microlaryngoscopic biopsy shows keratosis of the larynx. Which treatment is NOT suggested?,C
Most common form of leptospirosis: Answer Choices: A. Weil's disease B. Icteric form C. Hepatorenal form D. Anicteric form,D. Anicteric form
Coartaction of aorta is associated with - Answer Choices: A. VSD B. PDA C. Bicuspid aortic valve D. None of above,C. Bicuspid aortic valve
"The triad of diabetes, gallstones and steatorrhoea is associated with which one of the following tumours?",B. Somatostationomas
Which of the following scoring system is used to see chest involvement in Sarcoidosis?,D. Scadding scoring system
Fracture scaphoid is usually seen in:,C. Young active adult
Not a cause of primary amenorrhea- Answer Choices: A. Turner's syndrome B. Kallmann syndrome C. Asherman's syndrome D. Rokitansky syndrome,C. Asherman's syndrome
"A 20 month old female child is brought for routine check-up. Complete blood count (CBC) shows moderate neutropenia. Child looks healthy, eats well and within expected parameters for age and sex. Other parameters of blood count are within normal range expected for age. Family history is unremarkable. CBC after 1 and 2 weeks shows same results. Bone marrow examination is normal. Next step",C. Watch and wait strategy
Which of the following drugs is used for the prophylaxis of migraine but not for angina pectoris? Answer Choices: A. Verapamnil B. Diltiazem C. Flunarizine D. Amlodipine,C. Flunarizine
"20-year-old woman with rapid hirsutism, amenorrhea, voice change: which blood test establishes diagnosis?",C. Testosterone
Following is a type of physical uicaria - Answer Choices: A. Dermographism B. Uicaria pigmenthosa C. Uicaria vasculitis D. Auto-immune uicaria,A. Dermographism
Right anterior oblique view of chest X–ray true is/are – a) Cassette near right shoulder b) Cassette near left shoulder c) Arch of Aorta best seen d) Left atrial enlargement can be diagnosed e) Mitral & tricuspid valves better seen,A. ad
All of the following are hormonal agents used against breast cancer except - Answer Choices: A. Latrazole B. Exemestane C. Taxol D. Tamoxifen,C. Taxol
Diabetes melitus is diagnosed if fasting blood glucose is ?,B. >126
"All are true about Renal tubular acidosis except.
Answer Choices:
A. Impaired acid production
B. Impaired bicarbonate resorption
C. Inability to acidify urine
D. Nephrolithiasis",A. Impaired acid production
"Disease caused by virus of family of RNA paramyxovirus, with incubation period of 14-21 days with high secondary attack rate with most common complication of aseptic meningitis. Live attenuated vaccine is available for disease with strain JeryII Lynn strain. Name of disease is?",B. Mumps
All of the following nutritional assessment methods indicate inadequate nutrition except,B. Increased 1-4 year moality rate
"65F post-TKA, 2d calf pain/swelling → sudden SOB + death. Probable cause?",B. Pulmonary embolism
Chronic Hemolysis from which of the following conditions may be associated with iron deficiency,D. G 6PD deficiency
Eutrophication of water bodies is mainly caused by - Answer Choices: A. Carbonates and oxides B. Hydrocarbons and mentals C. Carbonates and sulphates D. Phosphates and nitrate,D. Phosphates and nitrate
Characteristic lesion of scabies is -,A. Burrow
"All of the following are the classical presentation of Cranioverebral junction anomalies except
Answer Choices:
A. Pyramidal signs
B. Low hairline
C. Sho neck
D. Pupillary asymmetry",D. Pupillary asymmetry
For detection of intrinsic pathway of coagulation which one is used?,A. aPTT
Ridge lap design of pontics indicated for the replacement of a,B. Maxillary central incisor
"50M T2DM, 24hr urinary albumin 250mg → drug to retard renal disease progression",B. Enalapril
"Adolescent boy with splotchy red rash on nape of neck since infancy, more prominent with exercise/emotion, similar rash on eyelids resolved in newborn period",B. Salmon patch
A patient with recent onset primary generalized epilepsy develops drug reaction with skin rash and neutropenia due to phenytoin sodium. The most appropriate course of action is:,Shift to sodium valproate
Methicillin-resistant S. aureus (MRSA) was isolated from 7 patients in a 14-bed intensive care unit. All patients were isolated and the unit closed to any more admissions. Which one of the following reasons best explains these rigorous methods to control MRSA?,D. MRSA spreads more rapidly from patient to patient than antibiotic-susceptible staphylococci do
Distal colitis with respect to ulcerative colitis refers to:,B. Left sided colon distal to splenic flexure is only involved
H4-biopterin (tetrahydrobiopterin) is required for metabolism of,C. Phenylalanine
"Telecanthus is:
Answer Choices:
A. Narrow medial epicanthus
B. Widely separated medial orbital wall
C. Lateral epicanthal fold thickened
D. Increases in intercanthal distance with normal interpupillary distance",D
Which drug can cause cartilage damage in children?,C. Ciprofloxacin
Rigor mortis in fetus is:,A. Usually not seen before 7 months
Recurrent ischaemic events following thrombosis have been pathophysiologically linked to,C. Lipoprotein A
"A patient was advised Treadmill test, but he had lost both his limbs and then he was advised a stress test. The drug used for this test is: Answer Choices: A. Dopexamine B. Dopamine C. Dobutamine D. Dipevefrine",C. Dobutamine
True about Atosiban:,A. is an oxytocin receptor antagonist
Immunostimulant used for the treatment of malignant Melanoma Norma is,C. Aldesleukin
The presence of multiple cavities in the lung with hematuria is suggestive of-,A. Wegener's granulomatosis
